point_id,year,n_obs,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,ndvi_slope,ndvi_drop,cluster,risk_level
"102055,180123",2023,32,0.3772991753125,0.46175426,0.26894915,0.0441953951035765,0.0003240595386193,0.1146397,2,HIGH_RISK
"102055,180123",2024,29,0.3342020727586207,0.3977184,0.27741936,0.0329534456429478,-0.0002000549659585,0.06252062,1,MEDIUM_RISK
"102055,180124",2022,36,0.2613691688888888,0.3529228,0.17355372,0.0444353635831726,0.0003701085326814,0.1333926999999999,1,MEDIUM_RISK
"102055,180124",2023,32,0.2677968678125,0.32634178,0.20065898,0.0323370887696562,0.0002910150007565,0.10480969,1,MEDIUM_RISK
"102055,180124",2024,29,0.2358782810344827,0.29837704,0.19226119,0.0283557854298164,-0.0002145842929794,0.0762280599999999,1,MEDIUM_RISK
"102055,180125",2022,36,0.2449374619444444,0.31785196,0.16112694,0.0373902357597997,0.0002451363857841,0.12591919,1,MEDIUM_RISK
"102055,180125",2023,33,0.2347746927272727,0.3553719,0.11543716,0.0610223293534003,0.0007281843663094,0.0,0,LOW_RISK
"102055,180125",2024,29,0.2206817689655172,0.3187928,0.15144767,0.0425660603153681,-5.16243747919182e-05,0.13503362,1,MEDIUM_RISK
"102055,180126",2022,36,0.4055679813888889,0.5303728,0.3001346,0.0621635301206455,0.000413501112373,0.1656495999999999,2,HIGH_RISK
"102055,180126",2023,33,0.4277426560606061,0.5756501,0.20044135,0.1004678484401982,0.0010063435623416,0.2695124,2,HIGH_RISK
"102055,180126",2024,29,0.3850384572413793,0.54679805,0.193265,0.0789952024178658,0.0008731205547427,0.1971873,2,HIGH_RISK
"102055,180127",2022,36,0.3084417972222222,0.418757,0.16817865,0.0718389087018951,0.0003354316695374,0.21699368,2,HIGH_RISK
"102055,180127",2023,33,0.2829937991818181,0.3936153,0.104477614,0.0800768881893456,0.0008069949372811,0.1859827,2,HIGH_RISK
"102055,180127",2024,29,0.2829295693103448,0.37286732,0.12417219,0.0717991505399679,0.0006131805539944,0.10830945,0,LOW_RISK
"102055,180128",2022,36,0.2794042622222222,0.42366865,0.21698739,0.0478484666184188,0.0003733096777735,0.1860811799999999,2,HIGH_RISK
"102055,180128",2023,32,0.2562652409375,0.35296395,0.13540912,0.0480905460024573,0.0005841337705232,0.0,0,LOW_RISK
"102055,180128",2024,31,0.2373779922580645,0.35779816,0.18025751,0.0434777833135389,-0.0002024475577955,0.1187842199999999,1,MEDIUM_RISK
"102055,180129",2022,36,0.3450250630555556,0.5366086,0.21395841,0.0806808151086694,0.00080454032783,0.2527598,2,HIGH_RISK
"102055,180129",2023,32,0.3439903128125,0.48662233,0.13376835,0.0933201141010968,0.0009772589775408,0.2435743,2,HIGH_RISK
